id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33764271,Twin Room,254524614,The Washington,,Clifton Down,51.45872,-2.60977,Private room,108,1,28,2022-09-12,1.93,6,359,26,
33764353,Single Room,254524614,The Washington,,Clifton Down,51.45928,-2.60941,Private room,73,1,6,2022-09-12,0.44,6,358,5,
33764428,Single Room with shared bathroom,254524614,The Washington,,Clifton Down,51.45994,-2.6094,Private room,60,1,24,2022-09-05,2.00,6,353,24,
33823286,"Beautiful renovated cosy barn, in family garden.",211264085,Faye,,Stockwood,51.40611,-2.55744,Entire home/apt,110,2,59,2022-09-18,1.42,1,84,30,
33907148,"Kestrel room, Double Bed room, Frenchay Common",234694654,Barry,,Frome Vale,51.49241,-2.52116,Private room,55,1,10,2021-12-03,0.26,4,285,2,
33922942,Private double room with shower room,147185584,Gracie,,Stockwood,51.40536,-2.55123,Private room,45,1,59,2022-09-04,1.46,3,324,30,
34006701,Homely Victorian house near city centre,28491567,Daniel,,Ashley,51.46696,-2.57792,Entire home/apt,95,3,4,2021-07-25,0.11,1,0,0,
34008302,Goldfinch large single room double bed,234694654,Barry,,Frome Vale,51.49453,-2.52099,Private room,45,1,15,2022-07-13,0.41,4,105,6,
34047417,"En-suite, Kingsize, Attic room.",109506458,Amy,,Eastville,51.4778,-2.54134,Private room,50,2,36,2021-09-29,0.88,2,250,2,
34057880,higgihaus 7 Bed Large House Big Groups Best,164934575,Luke,,Clifton Down,51.4666,-2.60818,Entire home/apt,710,2,53,2022-09-04,1.34,10,108,24,
34100109,Airy loft w/ensuite & workspace. Near shops+parks,26800619,Hermione,,Bishopston & Ashley Down,51.48242,-2.58229,Private room,52,2,11,2022-04-11,0.27,1,138,2,
34107117,"Close to mod , airbus",139654823,Narendra,,Horfield,51.50713,-2.56761,Private room,30,2,11,2022-09-05,0.28,2,0,5,
34168114,Cleyro Apartments - Finzels Reach 1 Bedroom Deluxe,60611927,Marianna,,Central,51.45518,-2.58924,Entire home/apt,149,1,7,2022-09-03,0.17,3,364,6,
34217682,Bright 1 bedroom flat with its own parking.,83768162,Ernst,,Lockleaze,51.50512,-2.56415,Entire home/apt,70,1,118,2022-09-20,2.91,4,138,31,
34221336,Bright spacious loft room with en-suite in Bristol,40471345,Sally,,Bedminster,51.43983,-2.61131,Private room,66,2,74,2022-09-18,1.91,1,15,18,
34226212,"Osprey room , Double Bed1, Frenchay Common",234694654,Barry,,Frome Vale,51.49423,-2.5213,Private room,65,1,29,2022-09-16,0.74,4,286,5,
34242088,Clifton Village Victoria Sq Large Apt 2 Bed/2 Bath,31202667,Sue,,Clifton,51.45598,-2.61645,Entire home/apt,102,2,188,2022-09-18,4.95,1,263,87,
34300862,"Calm, stylish double ensuite. Free WiFi & parking",12908465,Db,,Windmill Hill,51.43823,-2.58938,Private room,26,2,63,2021-11-07,1.58,1,47,1,
34375869,Newly refurbished flat near train station & centre,60695590,Zoe,,Windmill Hill,51.44147,-2.58049,Entire home/apt,95,3,2,2022-09-19,2,1,200,2,
34413855,Bright roomy double room bus route to town/airport,22002889,Crescentia,,Stockwood,51.42345,-2.56239,Private room,43,1,2,2022-09-19,1.25,2,0,2,
34445544,Room with Private Bathroom in large Victorian Flat,59376561,James,,Redland,51.47297,-2.60823,Private room,51,2,54,2022-09-20,1.33,1,69,22,
